BOM,Nodes,Algorithm,Makespan,std_Makespan,MinMakespan,MaxMakespan
bom_2_2_10_5,7,LS_MZN_CPLEX32_1h,69217.0,0.0,,
bom_2_3_10_5,13,LS_MZN_CPLEX32_1h,78800.0,0.0,,
bom_2_4_10_5,21,LS_MZN_CPLEX32_1h,141096.0,0.0,,
bom_2_5_10_5,31,LS_MZN_CPLEX32_1h,97491.0,0.0,,
bom_2_6_10_5,43,LS_MZN_CPLEX32_1h,107676.0,0.0,,
bom_2_7_10_5,57,LS_MZN_CPLEX32_1h,151121.0,0.0,,
bom_2_8_10_5,73,LS_MZN_CPLEX32_1h,213562.0,0.0,,
bom_2_9_10_5,91,LS_MZN_CPLEX32_1h,219040.0,0.0,,
bom_2_10_10_5,111,LS_MZN_CPLEX32_1h,235022.0,0.0,,
bom_2_11_10_5,133,LS_MZN_CPLEX32_1h,319131.0,0.0,,
bom_2_12_10_5,157,LS_MZN_CPLEX32_1h,445907.0,0.0,,
bom_2_13_10_5,183,LS_MZN_CPLEX32_1h,560311.0,0.0,,
bom_2_14_10_5,211,LS_MZN_CPLEX32_1h,585681.0,0.0,,
bom_2_15_10_5,241,LS_MZN_CPLEX32_1h,898045.0,0.0,,
bom_2_16_10_5,273,LS_MZN_CPLEX32_1h,892603.0,0.0,,
bom_2_2_10_5,7,BS_MZN_CPLEX32_1h,48210.0,0.0,,
bom_2_3_10_5,13,BS_MZN_CPLEX32_1h,70810.0,0.0,,
bom_2_4_10_5,21,BS_MZN_CPLEX32_1h,97486.0,0.0,,
bom_2_5_10_5,31,BS_MZN_CPLEX32_1h,81825.0,0.0,,
bom_2_6_10_5,43,BS_MZN_CPLEX32_1h,106831.0,0.0,,
bom_2_7_10_5,57,BS_MZN_CPLEX32_1h,151042.0,0.0,,
bom_2_8_10_5,73,BS_MZN_CPLEX32_1h,212040.0,0.0,,
bom_2_9_10_5,91,BS_MZN_CPLEX32_1h,227372.0,0.0,,
bom_2_10_10_5,111,BS_MZN_CPLEX32_1h,240788.0,0.0,,
bom_2_11_10_5,133,BS_MZN_CPLEX32_1h,308328.0,0.0,,
bom_2_12_10_5,157,BS_MZN_CPLEX32_1h,410715.0,0.0,,
bom_2_13_10_5,183,BS_MZN_CPLEX32_1h,518571.0,0.0,,
bom_2_14_10_5,211,BS_MZN_CPLEX32_1h,528668.0,0.0,,
bom_2_15_10_5,241,BS_MZN_CPLEX32_1h,694753.0,0.0,,
bom_2_16_10_5,273,BS_MZN_CPLEX32_1h,1135209.0,0.0,,
bom_2_2_10_5,7,LETSA,69217.0,0.0,,
bom_2_3_10_5,13,LETSA,109128.0,0.0,,
bom_2_4_10_5,21,LETSA,143188.0,0.0,,
bom_2_5_10_5,31,LETSA,99857.0,0.0,,
bom_2_6_10_5,43,LETSA,143688.0,0.0,,
bom_2_7_10_5,57,LETSA,178088.0,0.0,,
bom_2_8_10_5,73,LETSA,267764.0,0.0,,
bom_2_9_10_5,91,LETSA,235365.0,0.0,,
bom_2_10_10_5,111,LETSA,245857.0,0.0,,
bom_2_11_10_5,133,LETSA,327732.0,0.0,,
bom_2_12_10_5,157,LETSA,425849.0,0.0,,
bom_2_13_10_5,183,LETSA,500476.0,0.0,,
bom_2_14_10_5,211,LETSA,481491.0,0.0,,
bom_2_15_10_5,241,LETSA,581944.0,0.0,,
